epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.1816,1.25927,3.35318,1.18688,0.01868,0.86082,0.26247,0.1844,0.9266,3.23843,0.99689,0.00011669,0.00011669,0.00011669
2,134.049,1.07899,2.11058,1.06368,0.93736,0.19762,0.53682,0.4013,0.79278,2.63177,0.91767,0.000245099,0.000245099,0.000245099
3,194.116,0.97502,1.39764,1.02362,1,0.12886,0.62115,0.46221,0.74622,2.59084,0.9471,0.000368227,0.000368227,0.000368227
4,252.694,0.97492,1.17244,1.05142,1,0.11018,0.79592,0.57953,0.7539,2.51637,0.96125,0.000486074,0.000486074,0.000486074
5,311.075,0.89362,1.07087,1.01495,1,0.17635,0.78267,0.60895,0.75244,2.49683,0.94083,0.00059864,0.00059864,0.00059864
6,371.806,0.85494,1.05093,1.03118,0.93799,0.22913,0.73838,0.57747,0.75376,2.4108,0.97319,0.000705924,0.000705924,0.000705924
7,430.096,0.87009,1.01653,1.03282,0.96123,0.14027,0.79373,0.60419,0.76156,2.35069,0.99322,0.000807928,0.000807928,0.000807928
8,488.963,0.86847,0.92398,1.01482,0.91491,0.34645,0.80302,0.62778,0.76112,2.22434,1.0172,0.000904651,0.000904651,0.000904651
9,547.188,0.83082,0.88368,1.02641,0.80941,0.84242,0.79951,0.61585,0.78864,1.70235,1.07006,0.000996093,0.000996093,0.000996093
10,606.748,0.8033,0.85397,0.99898,0.81578,0.83874,0.79065,0.61101,0.76727,1.5822,1.07756,0.00108225,0.00108225,0.00108225
11,667.833,0.81848,0.85027,0.99538,0.87081,0.87403,0.85838,0.65837,0.79794,1.28974,1.10952,0.00116313,0.00116313,0.00116313
12,727.795,0.797,0.86928,0.99731,0.87558,0.87771,0.85739,0.65403,0.83435,1.21776,1.15617,0.00123873,0.00123873,0.00123873
13,787.037,0.81235,0.88438,1.02225,0.84314,0.87383,0.83814,0.6391,0.80975,1.23791,1.11898,0.00127092,0.00127092,0.00127092
14,845.762,0.78428,0.83942,1.0019,0.88178,0.88375,0.85106,0.63428,0.83473,0.98607,1.12949,0.00123791,0.00123791,0.00123791
15,903.567,0.80677,0.86577,1.00569,0.89588,0.89367,0.87683,0.6931,0.76495,0.92668,1.09419,0.00120491,0.00120491,0.00120491
16,961.89,0.76706,0.79313,0.99438,0.92079,0.89978,0.87306,0.67621,0.77448,0.91731,1.10136,0.0011719,0.0011719,0.0011719
